name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
C3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
C4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
CZ	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
EKG1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
EKG2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
FZ	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
LA01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LA02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LA03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LA04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LA05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LA06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LA07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LA08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LA09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	resect
LA10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LB02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LB03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LB04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LB05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LB06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LB07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LB08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LB09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LB10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LB11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
LB12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LC02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LC03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LC04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LC05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LG12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LH01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LH02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LH03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LH04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LH05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LH06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LH07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LH08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LH09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LH10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LH11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LH12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LI12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LJ12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LK12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LL11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
