;;;;;;;;;;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-02-02;775.40;775.80;759.60;778.20;756.60;776.00;769.1206;696050;535,440,670.1;4631
2026-01-30;764.60;764.80;767.00;771.40;760.40;767.40;765.728;512547;392,466,712.74;3776
2026-01-29;766.80;767.00;743.00;782.40;742.60;764.20;764.5327;1910437;1,460,947,818.1;11671
2026-01-28;706.40;706.80;710.00;714.80;703.20;705.20;706.9913;586190;414,429,491.8;3357
2026-01-27;707.00;707.40;700.00;709.80;700.00;707.40;706.5053;521304;368,324,834.4;3350
2026-01-26;692.00;692.20;680.00;694.20;679.40;692.60;690.3254;487112;336,268,883.1;2767
2026-01-23;684.00;684.20;679.40;684.60;673.40;682.00;679.8391;477863;324,856,853.6;2722
2026-01-22;680.20;680.40;686.00;691.40;678.20;678.20;683.5981;573570;392,116,673.6;3826
2026-01-21;684.20;684.60;691.00;692.40;676.20;683.00;682.6168;705970;481,921,632.6;3939
2026-01-20;691.00;691.40;690.60;693.00;680.00;692.20;688.2767;401175;276,101,776.77;3039
2026-01-19;694.80;695.20;699.20;702.80;692.00;695.40;695.8994;569908;396,597,947.49;3936
2026-01-16;710.20;710.40;708.60;710.80;704.60;709.80;708.1663;485967;344,276,679.7;2569
2026-01-15;710.00;710.60;697.60;710.60;696.40;708.20;705.0867;780422;550,250,594.79;3922
2026-01-14;692.20;692.60;699.00;703.00;690.00;692.20;695.2367;657956;457,520,858.9;3188
2026-01-13;699.80;700.00;700.00;702.00;690.40;699.80;698.3578;509642;355,894,094.4;2612
2026-01-12;696.60;696.80;690.40;698.00;690.00;697.80;694.2206;468141;324,979,122.39;2943
2026-01-09;690.80;691.20;684.00;693.00;683.20;690.40;690.124;427272;294,901,476.39;2321
2026-01-08;682.40;682.80;700.00;703.60;682.60;684.00;690.5803;499022;344,637,538.5;3064
2026-01-07;703.00;703.40;703.00;709.60;700.00;703.00;704.3082;451970;318,316,942.52;3019
2026-01-05;699.20;699.80;690.00;705.00;690.00;700.40;698.2476;509172;355,524,575.1;2900
