;;;;;;;;;;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-02-03;187.05;187.15;188.30;189.35;184.35;186.95;186.9021;3906530;730,138,409.05;8260
2026-02-02;187.10;187.15;181.00;187.55;180.20;187.25;185.9083;7930251;1,474,044,974.89;9335
2026-01-30;183.55;183.65;182.90;185.35;182.30;183.75;183.779;4211456;773,978,366.48;5243
2026-01-29;184.10;184.20;182.80;187.30;182.35;183.50;184.3925;5158872;951,265,329.59;8134
2026-01-28;182.80;182.90;187.40;191.65;181.95;181.95;184.3534;8388691;1,546,715,132.11;14683
2026-01-27;186.50;186.55;191.80;192.10;180.90;186.60;187.3679;8882670;1,664,289,933.81;21493
2026-01-26;190.15;190.25;189.25;191.30;188.75;190.30;190.2772;4548184;865,408,241.27;5440
2026-01-23;189.25;189.35;190.90;190.90;187.20;189.60;189.4415;4479590;848,580,202.78;7215
2026-01-22;191.00;191.10;191.95;193.30;190.50;190.50;191.1103;5664231;1,082,503,249.55;6876
2026-01-21;188.95;189.00;187.70;189.65;185.80;189.65;188.8184;7429827;1,402,971,437.86;7310
2026-01-20;187.75;187.80;183.25;188.40;183.10;188.40;187.2128;7054382;1,320,604,521.91;6863
2026-01-19;186.80;186.85;186.75;187.50;185.25;186.80;186.6585;4426483;826,088,385.26;7915
2026-01-16;191.05;191.15;190.00;191.40;187.70;191.10;190.4057;9752324;1,857,267,949.1;12817
2026-01-15;187.55;187.65;183.50;188.05;183.30;188.00;187.076;10254514;1,917,920,970.53;12572
2026-01-14;178.60;178.70;181.75;181.95;177.55;179.05;179.1774;5564951;996,953,367.84;6180
2026-01-13;181.60;181.65;182.40;183.10;179.60;181.40;181.3776;5902613;1,070,602,594.43;6781
2026-01-12;181.90;182.00;180.15;183.40;179.90;181.65;181.7722;5619890;1,021,670,046.06;6247
2026-01-09;178.35;178.40;176.45;178.60;175.80;178.25;177.8307;4074640;724,839,751.23;3852
2026-01-08;176.05;176.15;179.20;179.40;175.75;176.10;176.8389;5310963;939,195,768.75;6368
2026-01-07;180.25;180.30;188.00;188.00;177.70;179.85;181.4558;10576895;1,919,109,230.02;15120
2026-01-05;172.00;172.10;168.75;172.95;168.20;172.50;172.115;4214426;725,358,145.75;4268
