;;;;;;;;;;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-02-03;133.50;134.40;134.80;135.30;133.50;135.00;134.6794;113408;15,273,643.35;736
2026-02-02;134.80;135.10;136.60;136.60;132.30;134.40;134.3234;327330;43,967,045.85;1470
2026-01-30;136.30;136.60;135.80;141.60;131.20;136.60;137.0722;646557;88,634,121.3;3165
2026-01-29;140.40;141.00;141.50;142.60;140.00;140.00;140.5989;122364;17,209,715.64;753
2026-01-28;141.10;141.80;139.70;141.70;139.00;141.50;141.0222;108720;15,331,039.75;780
2026-01-27;139.60;139.90;139.90;140.10;138.40;139.70;139.6009;97073;13,550,806.3;550
2026-01-26;139.60;139.90;135.80;140.10;134.00;139.80;138.3967;303945;42,066,093.29;1513
2026-01-23;142.70;143.30;144.80;145.00;142.70;142.90;143.1793;116020;16,611,923.3;683
2026-01-22;144.90;145.10;143.90;145.70;142.20;144.80;144.3737;109935;15,870,358.4;801
2026-01-21;142.50;143.30;143.80;144.50;141.00;142.90;142.773;165486;23,626,713.1;862
2026-01-20;144.10;144.30;144.00;145.20;142.90;143.80;144.0486;152391;21,952,382.9;897
2026-01-19;145.00;145.80;145.00;145.90;142.90;144.60;144.612;181052;26,146,029.6;851
2026-01-16;147.60;147.80;145.80;147.90;145.00;147.70;147.0541;129949;19,101,712.45;827
2026-01-15;145.80;146.20;142.50;146.90;142.00;145.80;145.5044;112065;16,305,827.55;741
2026-01-14;142.50;143.10;144.40;144.40;141.20;142.50;142.673;106555;15,199,560.4;654
2026-01-13;144.30;145.10;144.20;146.30;143.30;144.40;144.6599;89924;13,008,553.25;702
2026-01-12;144.20;145.00;144.00;145.70;142.50;144.30;144.2761;66344;9,571,828.1;559
2026-01-09;145.00;145.60;143.10;145.70;141.50;145.00;144.1206;105547;15,211,766;796
2026-01-08;143.30;143.60;144.60;146.10;142.50;143.10;143.6607;85769;12,321,531.5;628
2026-01-07;146.10;146.40;137.90;146.30;137.90;146.30;143.6222;266965;38,341,896.54;1542
2026-01-05;136.90;137.30;139.30;140.10;136.50;137.40;137.8388;64094;8,834,636.6;437
