;;;;;;;;;;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-02-03;232.00;234.00;235.00;235.00;231.00;234.00;233.6744;946;221,056;32
2026-02-02;231.00;233.00;230.00;234.00;228.00;234.00;231.8444;2480;574,974;47
2026-01-30;227.00;230.00;231.00;232.00;228.00;230.00;229.4806;1698;389,658;26
2026-01-29;230.00;231.00;230.00;233.00;229.00;231.00;231.3206;5322;1,231,088;64
2026-01-28;229.00;231.00;229.00;231.00;226.00;231.00;228.3396;1964;448,459;45
2026-01-27;228.00;230.00;229.00;230.00;227.00;229.00;228.1019;3856;879,561;43
2026-01-26;226.00;230.00;228.00;229.00;224.00;229.00;227.4235;4742;1,078,442;44
2026-01-23;226.00;228.00;226.00;228.00;225.00;226.00;227.2453;2776;630,859;49
2026-01-22;224.00;226.00;221.00;227.00;220.00;224.00;222.5287;1948;433,486;43
2026-01-21;218.00;220.00;220.00;224.00;217.00;219.00;220.0271;4539;998,703;39
2026-01-20;220.00;221.00;221.00;222.00;219.00;221.00;220.3806;3436;757,187.5;41
2026-01-19;223.00;225.00;229.00;229.00;222.00;224.00;225.3475;2288;515,595;54
2026-01-16;229.00;231.00;231.00;232.00;227.00;231.00;229.7252;1895;435,24;50
2026-01-15;228.00;231.00;226.00;230.00;225.00;230.00;227.0026;777;176,381;21
2026-01-14;225.00;230.00;231.00;231.00;225.00;225.00;226.0443;4663;1,054,379;66
2026-01-13;229.00;231.00;230.00;233.00;226.00;233.00;231.0086;2141;494,513;47
2026-01-12;229.00;232.00;231.00;232.00;228.00;229.00;230.5424;2211;509,731;61
2026-01-09;230.00;231.00;229.00;231.00;227.00;231.00;229.9225;3859;887,271;62
2026-01-08;228.00;229.00;231.00;234.00;228.00;230.00;230.9632;1976;456,500.5;55
2026-01-07;230.00;232.00;224.00;232.00;224.00;232.00;229.4845;12392;2,843,772;123
2026-01-05;221.00;223.00;222.00;223.00;220.00;223.00;220.8826;426;94,096;18
