;;;;;;;;;;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-02-03;126.05;126.15;125.50;126.80;125.50;126.10;126.2929;609605;77,012,812.86;586
2026-02-02;124.65;124.70;121.25;125.05;121.00;124.85;123.9551;204329;25,330,625.93;630
2026-01-30;121.80;121.90;122.40;123.55;121.65;121.75;122.8249;318078;39,067,926.2;900
2026-01-29;121.10;121.25;125.20;125.60;121.10;121.20;123.1967;1221967;150,544,404.63;1851
2026-01-28;125.10;125.20;126.90;127.15;124.70;125.00;125.5853;315712;39,650,343.95;727
2026-01-27;126.75;126.80;125.80;127.05;125.40;126.80;126.4809;155358;19,653,408.85;538
2026-01-26;125.20;125.25;124.80;125.90;124.80;125.25;125.2623;86883;10,883,164.2;388
2026-01-23;124.40;124.55;126.30;126.30;124.20;124.50;125.1517;124593;15,593,076.63;470
2026-01-22;126.45;126.50;125.05;127.00;125.00;126.65;125.7665;746414;93,864,485.2;1179
2026-01-21;123.55;123.60;122.00;124.05;121.10;123.50;122.2427;441751;54,050,236.83;824
2026-01-20;122.75;122.85;122.20;122.85;121.45;122.75;122.0984;266056;32,486,399.85;722
2026-01-19;123.00;123.05;123.40;123.90;121.75;123.05;123.02;378630;46,579,171.26;749
2026-01-16;125.20;125.30;126.35;126.35;124.80;125.20;125.3247;337705;42,302,461.52;693
2026-01-15;126.20;126.25;125.15;126.45;124.70;126.40;125.9526;406786;51,236,453.62;901
2026-01-14;124.55;124.65;124.00;125.00;123.70;124.70;124.223;482995;59,999,187.3;827
2026-01-13;123.90;123.95;122.95;124.10;122.60;124.00;123.4672;436417;53,885,337.46;944
2026-01-12;122.35;122.45;121.95;122.60;120.35;122.50;121.5747;888962;107,921,089.48;1057
2026-01-09;122.00;122.10;121.95;122.20;119.70;121.95;121.2143;500849;60,709,700.3;922
2026-01-08;121.65;121.70;121.35;121.80;120.15;121.80;121.1537;193641;23,460,417.48;491
2026-01-07;121.65;121.80;122.45;123.35;121.25;121.70;122.1767;592567;72,415,134.73;713
2026-01-06;121.65;121.85;123.00;123.10;119.95;121.55;121.1695;510275;61,836,269.83;1253
2026-01-05;122.85;122.95;122.60;123.00;121.50;123.00;122.2808;278230;34,021,936.03;797
