;;;;;;;;;;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-02-02;676.70;677.10;684.50;691.00;675.30;676.70;680.2982;1518755;1,033,323,029.2;18261
2026-01-30;693.80;694.20;694.10;708.80;690.60;693.30;697.9405;1695824;1,183,939,820.54;14027
2026-01-29;698.50;698.80;710.00;712.60;694.00;698.30;703.3867;1689768;1,188,779,500.55;14410
2026-01-28;709.10;709.30;717.80;722.00;702.40;706.30;709.6669;1523711;1,081,370,537.7;16483
2026-01-27;712.10;712.20;702.80;715.00;695.30;715.00;708.6636;1483995;1,051,467,666.93;13670
2026-01-26;702.80;703.10;720.80;722.60;697.00;701.00;707.5275;1703394;1,205,354,436.8;20312
2026-01-23;718.60;718.90;688.00;718.90;685.90;718.80;709.5582;2204959;1,564,341,820.88;20516
2026-01-22;689.90;690.30;704.00;715.00;684.40;691.50;699.0788;3515671;2,457,974,998.14;34253
2026-01-21;725.50;725.70;729.90;731.50;702.00;722.60;721.2234;2796912;2,017,120,638.05;26994
2026-01-20;728.60;728.90;724.60;734.70;706.50;729.80;723.1213;2797587;2,022,500,116.8;26174
2026-01-19;724.30;724.60;713.70;748.80;713.70;723.30;734.5368;3753022;2,751,290,459.85;36618
2026-01-16;707.00;707.20;698.00;709.50;692.80;707.80;703.5984;2519791;1,773,117,333.4;20404
2026-01-15;697.20;697.40;690.70;699.70;687.00;695.60;694.5038;2236649;1,553,342,135.7;18829
2026-01-14;690.70;690.90;700.00;702.50;680.50;692.80;691.9168;3428972;2,372,585,227.4;31797
2026-01-13;707.10;707.50;698.50;709.80;679.80;704.10;697.9156;3890897;2,715,255,139.6;32586
2026-01-12;698.50;698.90;690.10;704.70;685.30;695.80;696.048;5772917;4,018,509,114.4;50274
2026-01-09;679.10;679.20;647.00;683.50;646.20;682.00;670.6622;5097495;3,419,535,306.3;45310
2026-01-08;640.60;641.00;630.20;651.10;627.40;641.40;641.4678;4173369;2,676,894,969.65;38072
2026-01-07;625.20;625.50;598.00;626.80;597.30;626.70;615.8953;4609259;2,838,539,177.25;32687
2026-01-05;594.30;594.60;570.00;599.40;570.00;596.90;591.2503;2893053;1,710,531,212;22024
