;;;;;;;;;;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-02-03;197.05;197.10;196.60;200.00;196.45;197.15;197.9068;3297950;652,678,714.29;6617
2026-02-02;195.50;195.55;189.95;196.15;188.95;196.15;194.8443;3944115;768,511,253.43;6265
2026-01-30;190.90;190.95;190.00;195.00;189.90;191.35;192.0206;4357060;836,687,258.32;8891
2026-01-29;189.10;189.25;195.00;195.05;188.35;189.00;190.5677;9621825;1,834,200,384.27;24418
2026-01-28;202.90;203.00;204.00;204.50;201.70;202.70;202.7749;2838480;575,583,935.45;4723
2026-01-27;203.60;203.80;202.70;204.00;202.30;204.00;203.564;2270158;462,118,831.9;4138
2026-01-26;201.40;201.60;200.50;203.30;200.20;201.30;201.7852;2008101;405,229,378;4179
2026-01-23;200.70;200.80;202.60;202.60;200.40;200.40;200.9671;1605698;322,739,335.62;3747
2026-01-22;202.20;202.30;202.00;203.20;201.30;202.60;202.2525;2787200;563,700,896.04;4437
2026-01-21;198.90;198.95;195.85;200.50;195.30;199.40;198.4509;2721398;539,894,121.83;5217
2026-01-20;197.15;197.25;196.05;197.45;195.05;197.45;196.7516;2109668;415,056,830.93;4212
2026-01-19;197.50;197.55;197.15;198.75;195.70;197.85;197.5047;2978891;588,305,909.26;5769
2026-01-16;201.20;201.30;202.10;202.40;200.80;201.50;201.3657;3565990;718,136,752.48;3861
2026-01-15;202.00;202.10;201.00;202.70;200.80;201.80;201.8854;3280679;662,479,853.9;4059
2026-01-14;200.50;200.60;200.70;201.30;199.55;200.10;200.1558;2975726;595,616,204.16;3484
2026-01-13;200.60;200.70;200.00;201.20;199.35;200.70;200.5513;2771726;555,845,566.88;3656
2026-01-12;199.60;199.70;197.90;199.75;196.45;199.25;198.8386;2260692;449,509,743.23;4744
2026-01-09;198.35;198.45;198.65;199.05;196.15;198.00;197.7161;2483647;491,161,218.47;4060
2026-01-08;198.65;198.75;196.40;199.10;195.65;198.50;198.013;2238937;443,329,331.75;4226
2026-01-07;196.65;196.70;201.60;201.60;196.15;196.60;197.7111;3237660;640,129,554.95;6057
2026-01-05;197.50;197.60;198.85;198.95;196.50;197.75;197.6411;1326933;262,256,626.05;3147
