;;;;;;;;;;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-02-03;143.05;143.10;143.15;144.85;142.40;143.35;143.373;8780672;1,258,831,889.41;11119
2026-02-02;142.90;142.95;140.20;143.10;139.40;143.00;142.362;4976600;708,347,613.4;7374
2026-01-30;140.25;140.35;141.40;142.50;140.25;140.60;141.0648;5283581;745,339,407.38;7044
2026-01-29;141.10;141.15;142.35;142.55;140.00;140.75;141.3254;5746921;812,150,199.21;9225
2026-01-28;142.30;142.35;143.10;143.10;141.25;142.35;142.077;4147926;589,312,985.55;7067
2026-01-27;142.90;142.95;142.00;143.25;141.50;143.00;142.8397;4581258;654,377,057.61;6614
2026-01-26;141.45;141.50;140.05;142.05;139.95;141.30;141.4449;4550605;643,675,342.76;6564
2026-01-23;139.75;139.80;141.45;141.50;139.70;139.95;140.3153;3560319;499,582,520.52;6889
2026-01-22;141.45;141.50;141.15;142.25;140.75;141.45;141.421;5042036;713,054,424.18;6882
2026-01-21;139.20;139.25;138.10;140.05;137.45;139.55;138.9457;4726514;656,628,103.65;6626
2026-01-20;139.10;139.20;138.80;139.55;137.45;139.15;138.6617;5231717;725,399,177.44;7751
2026-01-19;139.25;139.35;139.00;140.75;136.95;139.25;139.3429;6663756;928,424,427.27;9834
2026-01-16;140.90;140.95;141.20;141.40;140.10;141.30;140.972;4184668;589,995,576.71;5991
2026-01-15;140.65;140.70;140.00;141.45;139.70;141.00;140.8126;4834730;680,775,835.69;6797
2026-01-14;139.55;139.60;138.80;139.60;138.15;139.60;139.0256;7596313;1,055,664,768.03;7632
2026-01-13;138.45;138.50;136.40;138.70;136.40;138.45;137.9087;6782126;935,246,721.87;7225
2026-01-12;135.25;135.35;135.85;136.15;134.50;135.50;135.4784;4046470;548,203,730.49;6884
2026-01-09;135.75;135.80;134.35;135.90;133.65;135.90;135.0693;4995187;674,937,869.49;6393
2026-01-08;134.45;134.50;132.90;134.75;132.70;134.60;133.996;3957865;530,297,598.71;6446
2026-01-07;132.30;132.35;136.30;136.95;132.15;132.55;134.1094;8898564;1,193,509,656.58;13568
2026-01-05;135.55;135.60;136.10;136.25;134.65;135.85;135.5452;2743785;371,897,774.11;4636
