;;;;;;;;;;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-02-03;276.80;276.90;274.70;277.40;273.70;277.40;276.7692;691627;191,411,912.75;2426
2026-02-02;274.20;274.30;269.90;275.80;267.80;274.70;273.873;739209;202,453,868.4;2394
2026-01-30;269.80;270.00;268.90;271.30;268.20;270.90;270.6334;609079;164,832,791.77;1733
2026-01-29;268.60;268.70;267.80;272.20;267.20;268.90;269.5724;672227;181,214,325.1;2777
2026-01-28;267.50;267.60;269.00;269.40;266.70;267.50;267.5313;716089;191,576,258.2;2146
2026-01-27;268.00;268.20;268.10;269.60;267.40;268.90;268.7984;585085;157,271,009.15;2031
2026-01-26;268.40;268.60;270.00;270.00;266.00;268.10;268.0221;651846;174,705,584.45;2518
2026-01-23;270.10;270.30;271.00;271.40;269.20;270.00;270.1794;414994;112,124,958.85;1712
2026-01-22;272.00;272.20;269.00;273.80;268.90;271.70;271.4975;791778;214,967,869.65;2658
2026-01-21;266.00;266.10;267.80;267.90;261.50;266.00;265.3611;627907;166,577,030.15;2738
2026-01-20;267.80;267.90;265.70;268.40;264.90;268.20;267.3774;570685;152,585,789.85;2223
2026-01-19;269.70;269.90;272.00;272.70;266.90;269.60;269.2671;646826;174,107,829;3729
2026-01-16;278.20;278.40;274.20;278.30;273.70;277.40;276.8978;837952;232,064,272.65;2934
2026-01-15;274.50;274.60;271.00;275.00;270.20;274.30;273.9546;550333;150,755,718;2408
2026-01-14;270.30;270.40;271.30;273.30;269.20;271.00;270.8583;749705;203,068,039.9;2320
2026-01-13;271.60;271.70;273.00;273.40;269.20;271.30;271.225;757039;205,327,849.25;2886
2026-01-12;274.10;274.20;267.70;274.60;267.50;273.70;272.1601;903394;245,862,386.35;3913
2026-01-09;267.80;267.90;268.30;268.60;265.30;268.00;267.5558;707452;189,321,681.8;2390
2026-01-08;268.00;268.10;269.00;270.00;267.20;267.70;268.0123;763059;204,509,787.1;2633
2026-01-07;269.10;269.30;259.00;269.20;258.10;269.20;267.2869;1740948;465,358,063.03;4475
2026-01-05;259.60;259.70;258.40;261.40;257.90;260.10;259.764;459567;119,376,739.7;1739
