;;;;;;;;;;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2026-02-03;340.80;341.20;333.20;341.20;333.20;341.20;338.5462;127315;43,101,402.1;692
2026-02-02;329.80;330.20;321.80;331.20;320.60;330.60;327.7474;78855;25,845,276.1;623
2026-01-30;323.60;324.00;323.00;324.20;320.80;324.00;323.1627;84884;27,431,329.9;523
2026-01-29;323.00;323.40;325.00;327.40;321.00;323.00;324.1986;68530;22,216,547.6;553
2026-01-28;323.00;323.40;317.40;326.20;317.00;323.80;322.1024;113299;36,493,941.5;670
2026-01-27;314.60;315.00;316.20;318.00;314.80;315.20;315.9326;75541;23,865,923;608
2026-01-26;315.80;316.20;315.40;317.40;313.80;316.00;316.0595;69969;22,115,160.3;628
2026-01-23;314.60;315.20;315.80;316.80;314.00;315.40;315.2897;50333;15,869,856.5;455
2026-01-22;315.00;315.60;316.00;318.00;314.80;316.20;315.9856;87599;27,680,093.4;533
2026-01-21;311.20;311.40;304.00;311.60;303.80;311.60;308.1028;95291;29,359,763.1;616
2026-01-20;304.80;305.00;305.20;305.80;301.40;304.80;303.9642;70413;21,399,853.39;574
2026-01-19;307.40;307.80;305.60;308.40;303.00;307.20;306.4227;156031;47,813,514.7;858
2026-01-16;312.40;312.80;314.60;314.60;310.20;312.40;312.1372;108152;33,756,113.9;594
2026-01-15;315.60;316.00;310.80;316.00;310.80;315.80;314.0441;103640;32,546,354.1;603
2026-01-14;307.60;308.00;308.00;311.40;306.40;308.00;308.527;57082;17,610,162.5;472
2026-01-13;307.40;308.00;307.40;308.00;303.20;308.00;305.6885;176338;53,899,067;753
2026-01-12;310.40;310.80;308.60;311.60;307.20;310.40;309.0776;123474;38,166,021.7;954
2026-01-09;308.80;309.20;306.80;310.40;304.20;309.00;308.4017;104463;32,217,031.6;711
2026-01-08;306.40;306.80;308.00;308.40;303.60;306.80;306.0971;106156;32,491,796.2;744
2026-01-07;305.40;305.60;302.80;308.20;302.80;305.20;305.7916;169783;51,922,576.8;1039
2026-01-05;297.60;298.20;297.60;302.00;297.00;298.20;298.7829;62536;18,683,536.39;417
